"","(Intercept)","wbc","sodium","platelets","pre_creatinine","glucose_r","albumin","phosphate","pre_urea","calcium","total_co2","chloride","hemoglobin","potassium","magnesium"
"r2_031",0.0195893710098097,0.00228963123966153,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_059",0.187487094225059,0.0017799225272738,0.00134426060100595,0,0,0,0,0,0,0,0,0,0,0,0
"r2_073",0.153290220811394,0.00162409541139664,0.0010948363063472,5.84421040951162e-05,0,0,0,0,0,0,0,0,0,0,0
"r2_074",0.151814090432906,0.00162839503696739,0.00110034916101345,5.79413723885956e-05,1.69120500217246e-05,0,0,0,0,0,0,0,0,0,0
"r2_080",0.146227821967546,0.00148660884449879,0.00104300966210535,5.28335109261748e-05,1.5443248514568e-05,0.000774281845539912,0,0,0,0,0,0,0,0,0
"r2_083",0.139662159645025,0.00141609805373448,0.000979114562623181,5.03845730651021e-05,1.47234253498232e-05,0.000734027442831614,0.000868650723243876,0,0,0,0,0,0,0,0
"r2_089",0.111664297052383,0.00113437992191118,0.000781024953767315,4.0234930767761e-05,1.22868258547066e-05,0.000585924353970918,0.000693990671958856,0.00543652800662623,0,0,0,0,0,0,0
"r2_092",0.0981706972302367,0.00100307361054037,0.000686455970941002,3.54743755474896e-05,1.162190857378e-05,0.000516007677336752,0.000612572951683619,0.0049463840043914,0.000420607072340084,0,0,0,0,0,0
"r2_094",0.0842713932432686,0.000829488568763556,0.000567896570311761,2.9411178338954e-05,9.62434300683263e-06,0.000428919106223825,0.000515958818659435,0.00410814310703054,0.00034777904590166,0.0112545097132807,0,0,0,0,0
"r2_095",0.0773730339858578,0.000755199577244914,0.000520699855741855,2.67446991254461e-05,8.76247839270162e-06,0.000391014673201944,0.000470511142397884,0.0037854359992044,0.000325405390785703,0.0102980276224233,0.000702184575360229,0,0,0,0
"r2_096",0.0720508687543891,0.000704972487918273,0.00070057524240299,2.47685586366923e-05,8.37908624522447e-06,0.000363020608728483,0.000446745716673887,0.00357723581729045,0.000302513124519539,0.00952875963092271,0.000772276944202491,0.000623367304851658,0,0,0
"r2_097",0.0613323520032252,0.000591656511585552,0.00058632116793122,2.07714030555433e-05,7.01214512508403e-06,0.00030389318063602,0.000381253740274321,0.00299338759734298,0.000253808530284356,0.00797556700413261,0.000647663991219696,0.00052169772291148,0.000113047651884776,0,0
"r2_098",0.0572541694869264,0.000539524852274941,0.000541302327533613,1.89151851128391e-05,6.58661750542738e-06,0.000276670282680052,0.000348057861639939,0.00273983227324429,0.000234056401271036,0.00725963628372868,0.000590056575632497,0.000477205252922232,0.000102903794572736,0.0019750466281921,0
"r2_098",0.0545255488162792,0.000514327454628629,0.00051623711786314,1.80573842131301e-05,6.3183197668494e-06,0.00026366546580348,0.000331221779546685,0.00262202492208852,0.00022416195293939,0.00702898688312842,0.000565219087214616,0.000454988561876817,9.8066756715362e-05,0.00188918839723785,0.00694437613093989
