"","(Intercept)","wbc","sodium","platelets","pre_creatinine","glucose_r","albumin","phosphate","pre_urea","calcium","total_co2","chloride","hemoglobin","potassium","magnesium"
"r2_031",-1.60875663421184,0.181817360716109,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_059",-20.1400955912642,0.202267022416879,0.133279337774103,0,0,0,0,0,0,0,0,0,0,0,0
"r2_073",-18.6374781434996,0.265457320940686,0.126223211505493,-0.00499409111298395,0,0,0,0,0,0,0,0,0,0,0
"r2_074",-19.0866699135869,0.266289822922652,0.132274803701922,-0.00513452592759757,-0.000468045933475364,0,0,0,0,0,0,0,0,0,0
"r2_080",-22.2325954228146,0.258738260640378,0.151727179282771,-0.00501444769517796,-0.000363926783273333,0.0494310874024427,0,0,0,0,0,0,0,0,0
"r2_083",-23.3977012129146,0.268413204306787,0.150449462600801,-0.00500784584749671,-0.000487891369485083,0.0527245150710294,0.0385663006427252,0,0,0,0,0,0,0,0
"r2_089",-24.0312506294017,0.260953677496189,0.151318142954873,-0.00513947677566831,-0.00079517738228724,0.0516007700382555,0.0395910425452443,0.464680987652366,0,0,0,0,0,0,0
"r2_092",-24.179111876103,0.254472510890914,0.1516617653711,-0.00496831126855584,-0.00105664878039683,0.0496301131021056,0.0362889420965549,0.386964453533556,0.0256907352816897,0,0,0,0,0,0
"r2_094",-22.4515254778829,0.256393540523617,0.151483181705114,-0.00479966643367482,-0.00102267623344811,0.0461021903555505,0.043962301056752,0.357357021285536,0.0253884675007658,-0.863943032535083,0,0,0,0,0
"r2_095",-22.9581881708615,0.258610536463001,0.148523300392796,-0.00482942995276479,-0.00102532609568591,0.0461588177635975,0.0444657553250934,0.389385330213429,0.0293786548499891,-0.924333807658216,0.0372245956015624,0,0,0,0
"r2_096",-23.3758029761597,0.263299505162487,0.12489622814256,-0.0047506725853684,-0.000924754254769212,0.0478541429094309,0.0492302332823615,0.424371796609907,0.0309751128203439,-0.948587957629131,0.0566766898157319,0.0288996896701691,0,0,0
"r2_097",-22.5539806173612,0.266636438836068,0.124016212401023,-0.00485224621990596,-0.000924055692366774,0.0471504460401258,0.0546775688612164,0.426222873297226,0.0296066075041681,-0.933502809419164,0.0534917708752537,0.0294957629263054,-0.00823798172618858,0,0
"r2_098",-23.1994270982246,0.265207213711828,0.128650010341141,-0.00483581194740428,-0.00100646665766421,0.0467949432818853,0.0533551057205908,0.411479988766837,0.0276879552543123,-0.939730373722658,0.0524179390776333,0.0270667404224416,-0.00827431444576989,0.100240502712343,0
"r2_098",-23.1708131263576,0.264715589705311,0.127402491848538,-0.00478429823154701,-0.00097931721275278,0.0469246733135276,0.0536157188195309,0.420465263938459,0.0285218033143303,-0.894206405737367,0.0548287672127216,0.0281142707945512,-0.00814497029214357,0.106521867137347,-0.256976000542602
