"","(Intercept)","pre_creatinine","platelets","albumin","pre_urea","hemoglobin","sodium","chloride","wbc","potassium","phosphate","glucose_r","magnesium","total_co2","calcium"
"r2_075",0.0168094021460044,2.08072010776005e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_085",0.0181042215245961,1.66980228880995e-05,5.17105852104746e-05,0,0,0,0,0,0,0,0,0,0,0,0
"r2_090",0.0310618147251803,1.41387598207777e-05,4.348137697053e-05,0.000831338447640305,0,0,0,0,0,0,0,0,0,0,0
"r2_094",0.025330643309099,1.25495911623871e-05,3.47779304389018e-05,0.000665892936224118,0.00044932418656331,0,0,0,0,0,0,0,0,0,0
"r2_095",0.0263947007277298,1.04956076989928e-05,2.90971178105366e-05,0.000568889025947296,0.000376063966783506,0.000179947277069569,0,0,0,0,0,0,0,0,0
"r2_096",0.0838570116695793,1.02548614075249e-05,2.80623810059194e-05,0.000548095017977634,0.000361582701696474,0.000172782745279187,0.000591537377345407,0,0,0,0,0,0,0,0
"r2_096",0.0806294173892674,1.01073997358941e-05,2.71979173264026e-05,0.000534771594029122,0.000347512204097961,0.00016624053796066,0.000765440211132251,0.000644629039680894,0,0,0,0,0,0,0
"r2_097",0.0762527524740172,9.51754750985388e-06,2.8745467064265e-05,0.000513718081233707,0.000330057090510722,0.000156954044707603,0.00072076132455828,0.00060995358024841,0.000822218996024474,0,0,0,0,0,0
"r2_097",0.0773705189022042,9.6304405512562e-06,2.81047756216719e-05,0.000503392614141995,0.000328429738156306,0.000153432673493515,0.000714489240124702,0.000598166229743672,0.000805108215190861,0.00294942412356297,0,0,0,0,0
"r2_097",0.0753523509102206,9.43953940906784e-06,2.74025492154393e-05,0.000491619642851415,0.000329131571665125,0.000149607831630101,0.000697249431641311,0.000585223707636433,0.000784522568208547,0.00288709510348784,0.00387233157988435,0,0,0,0
"r2_097",0.079511999742176,9.48126591260819e-06,2.7481960569308e-05,0.000493971472620395,0.000329036877785564,0.000149469717654801,0.000701600410120685,0.000584585089957183,0.000780926957889152,0.00286763016478449,0.00384769955394944,0.000400183994999348,0,0,0
"r2_097",0.0795652690853759,9.51932043531945e-06,2.75128230868579e-05,0.000492830030107481,0.000329212771926999,0.000149233499776667,0.0006997680861959,0.00058293840813378,0.000780228162791332,0.00287567145939779,0.00384819695613391,0.000399550824681836,0.0103603214663099,0,0
"r2_097",0.0815165032370631,9.67431700488354e-06,2.76259589224008e-05,0.000499213792733009,0.000343575294262354,0.000150331615310642,0.000790620066326581,0.000696818380327796,0.000787904542280481,0.002893513414658,0.00400702001460575,0.000402304210709506,0.0104898695615451,0.000862030543487503,0
"r2_097",0.0837094675265216,9.70009829937466e-06,2.77223072526258e-05,0.000508502883528279,0.00034414101513196,0.000150555403199261,0.000792544691285118,0.000698513835664409,0.000789612911670125,0.00290034595200348,0.004025421381981,0.000404788144763286,0.0106612412134274,0.000867743468038893,0.0107911385031656
