"","(Intercept)","pre_creatinine","platelets","albumin","pre_urea","hemoglobin","sodium","chloride","wbc","potassium","phosphate","glucose_r","magnesium","total_co2","calcium"
"r2_075",2.21421798117722,-0.00431155166085102,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_085",1.05412580557439,-0.00415674956664791,0.00499685622465425,0,0,0,0,0,0,0,0,0,0,0,0
"r2_090",3.29924726165748,-0.00391302267268967,0.00465388344062843,-0.0685787302104568,0,0,0,0,0,0,0,0,0,0,0
"r2_094",2.87186713959681,-0.0043874633081612,0.00469323400870913,-0.0715591010384131,0.0390971801396712,0,0,0,0,0,0,0,0,0,0
"r2_095",1.67973947496377,-0.00438740111097532,0.00476042153227557,-0.0803021348574488,0.040270449382511,0.0136263273488086,0,0,0,0,0,0,0,0,0
"r2_096",4.40865409930456,-0.00432555358193004,0.00466885485338306,-0.0788811573363369,0.039822495217015,0.0135143135284125,-0.0202018435862013,0,0,0,0,0,0,0,0
"r2_096",4.47555862082995,-0.00424464832415661,0.00479296754728064,-0.0754617233910299,0.039855004166869,0.0132009249700504,-0.0384094037401061,0.0229088263248276,0,0,0,0,0,0,0
"r2_097",4.15879565952075,-0.00422648530809132,0.00424811492164876,-0.071179202440865,0.0379819801382673,0.0126308716977889,-0.039695588299722,0.025671736377532,0.0342268372416734,0,0,0,0,0,0
"r2_097",4.68362806522599,-0.00416374228967521,0.00424249718339328,-0.0703145874723568,0.0395300488521675,0.0126562917210038,-0.0427268864127358,0.0269474468943938,0.0352925692726423,-0.0744759588258719,0,0,0,0,0
"r2_097",4.63674321570436,-0.00419313285412835,0.00419853476188204,-0.0693666365480241,0.0373175032709691,0.0125476904449059,-0.0441732119709603,0.0286288879757229,0.0345678201031399,-0.0831360436873749,0.107791638079532,0,0,0,0
"r2_097",3.93271411297541,-0.00415829547607884,0.00421661912274597,-0.0681499221970433,0.0369162912447252,0.0127090522181706,-0.0412794655676645,0.0301507717674322,0.0338735147823594,-0.085638025227844,0.107668967624998,0.0106266681777011,0,0,0
"r2_097",3.85030696615876,-0.0041701254435602,0.00418855453748826,-0.0683869319715096,0.0366356112258523,0.0126553590947147,-0.041153647770775,0.030169339329864,0.0342147472631965,-0.0890572354865493,0.105183361823325,0.0107010567515376,0.125648266703604,0,0
"r2_097",3.90616421938826,-0.00417675210406249,0.00418728029962382,-0.0686082420017158,0.0363011815281324,0.0126170719147799,-0.0397307178057624,0.0287049641807107,0.0338802148115143,-0.0883055766622171,0.101054704211686,0.0105872056228062,0.130691730615195,-0.00338708015711143,0
"r2_097",3.94406311118498,-0.00417673953017802,0.00419117421739915,-0.0684751306331424,0.036312823686808,0.0126270362559587,-0.0398094543014851,0.028737056054921,0.0339078140722544,-0.0883913879184522,0.100494368346226,0.010519262370614,0.134023043525028,-0.00325597435014499,-0.0183165746771988
