"","(Intercept)","platelets","pre_creatinine","albumin","calcium","wbc","glucose_r","chloride","total_co2","hemoglobin","pre_urea","potassium","magnesium","phosphate","sodium"
"r2_084",0.00442556403242718,1.98517444142933e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_095",0.00396213908057689,1.13169478325025e-05,3.65439016327892e-06,0,0,0,0,0,0,0,0,0,0,0,0
"r2_096",0.00748657657935052,1.04799626597989e-05,3.40775028992394e-06,0.000200370744809451,0,0,0,0,0,0,0,0,0,0,0
"r2_097",0.00908620691665435,8.43751248495547e-06,2.73689591948069e-06,0.000164406529455208,0.00364964533383619,0,0,0,0,0,0,0,0,0,0
"r2_098",0.00762393045516375,7.78294345984443e-06,2.24120614812834e-06,0.000136623487780268,0.00298801186980288,0.000219961239665155,0,0,0,0,0,0,0,0,0
"r2_099",0.00736668035827019,7.24313419521392e-06,2.09404604394694e-06,0.000127173247423396,0.00277424269295922,0.000203535432983846,0.000101642205008718,0,0,0,0,0,0,0,0
"r2_099",0.0136264068827973,6.63770506223206e-06,1.92394606622219e-06,0.000116849160778747,0.00253119203177816,0.00018640704724268,9.59674773961301e-05,0.00010777622629437,0,0,0,0,0,0,0
"r2_099",0.0122150779662325,5.17277800280709e-06,1.5258956745827e-06,9.16444231286853e-05,0.00199028631630194,0.000146471193427424,7.54248222012247e-05,8.84675871170012e-05,0.000135056712931135,0,0,0,0,0,0
"r2_100",0.00868118321831347,3.60944888008284e-06,1.0636264172738e-06,6.50427558829182e-05,0.00138661586012217,0.000102262789822026,5.25570105478002e-05,6.16291566637738e-05,9.42906876646579e-05,1.96644272310822e-05,0,0,0,0,0
"r2_100",0.0077200454600313,3.14987877192717e-06,1.01028128397728e-06,5.67803825638658e-05,0.00120655918519717,8.94000744132083e-05,4.57524781237874e-05,5.38640807831018e-05,8.5839621895257e-05,1.71587569762905e-05,3.76200543129427e-05,0,0,0,0
"r2_100",0.00381944945066635,1.53281928001292e-06,5.03970859451577e-07,2.76462646393303e-05,0.000586935743391173,4.35370244976361e-05,2.22729489557696e-05,2.62306411745423e-05,4.18566276099954e-05,8.34738818121027e-06,1.85449503751024e-05,0.000157452018244475,0,0,0
"r2_100",0.00251900417055749,1.01371392712818e-06,3.34847070888126e-07,1.82177915572622e-05,0.000393428346972024,2.87416754077586e-05,1.4705301583691e-05,1.72935893636409e-05,2.76856179926541e-05,5.50954983327819e-06,1.23078865336762e-05,0.000104498073827532,0.000388307612368338,0,0
"r2_100",0.00195181897275104,7.66714397595013e-07,2.5507634194598e-07,1.37781226475873e-05,0.000298255848569324,2.17329384747761e-05,1.11208969169473e-05,1.31886519566904e-05,2.13404117003163e-05,4.16338479278865e-06,9.44007411618416e-06,7.91843970533928e-05,0.000294264892017714,0.000109616819713939,0
"r2_100",0.00198350237428513,6.5688223663379e-07,2.29844587190964e-07,1.20490155607502e-05,0.000255696870076101,1.87099396441348e-05,9.59148672121307e-06,1.65513399194947e-05,2.05612492825885e-05,3.56742204354095e-06,8.15444824549705e-06,6.87239239722136e-05,0.000252618943645292,9.53826742014304e-05,1.87794083912079e-05
