"","(Intercept)","platelets","pre_creatinine","albumin","calcium","wbc","glucose_r","chloride","total_co2","hemoglobin","pre_urea","potassium","magnesium","phosphate","sodium"
"r2_084",1.01925115322158,-0.00548283722497535,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_095",1.55432412099505,-0.00567782796825744,-0.000639071699287175,0,0,0,0,0,0,0,0,0,0,0,0
"r2_096",1.93559636979774,-0.00573930534015231,-0.000598798479507995,-0.0115885254657752,0,0,0,0,0,0,0,0,0,0,0
"r2_097",1.34180777017503,-0.00580538152635517,-0.000607309741832539,-0.0146089739552312,0.317338732356043,0,0,0,0,0,0,0,0,0,0
"r2_098",1.47568595154743,-0.00551479364252285,-0.000601708477121208,-0.0164413950144214,0.320843648534964,-0.017806765288513,0,0,0,0,0,0,0,0,0
"r2_099",1.59059313934543,-0.00551262818615652,-0.000617798482167083,-0.0170924985212113,0.303506785480423,-0.0169395270257413,-0.00563408853562144,0,0,0,0,0,0,0,0
"r2_099",2.19927010872451,-0.00554564346824421,-0.000629097212337747,-0.0178250051626296,0.302686156525368,-0.0178162044502673,-0.00686571190356079,-0.00553610184448422,0,0,0,0,0,0,0
"r2_099",2.7464663354383,-0.00555211199770135,-0.000653767831235924,-0.0184553847497773,0.327182689258058,-0.0195418121728089,-0.00776813516679909,-0.00805450795450837,-0.0122801710481959,0,0,0,0,0,0
"r2_100",2.9445304849263,-0.00557736050269311,-0.000658417984185628,-0.0170196819122976,0.331159287387178,-0.0187232127253662,-0.00796428705940156,-0.00799423566222804,-0.0130301991080163,-0.00225866904198157,0,0,0,0,0
"r2_100",2.84453972365739,-0.00556186811569921,-0.000684032651359167,-0.0173044057687446,0.330665908616205,-0.0192589525319935,-0.00804618528821379,-0.00767324810905078,-0.0114409579431362,-0.00217485954004132,0.00238095530711818,0,0,0,0
"r2_100",2.98377333038699,-0.00556643484210667,-0.000661676878090735,-0.0170874436051865,0.332768054943356,-0.0189182773837022,-0.00785896944578916,-0.00791797548016548,-0.011968423979456,-0.00215794718745059,0.00298601495686763,-0.0315160341913523,0,0,0
"r2_100",2.98216934979925,-0.00555586883004226,-0.00065683144997704,-0.017075349895302,0.341390811192978,-0.0190299912290741,-0.00782512833116037,-0.00789933528713763,-0.0116882766109284,-0.0021318511023433,0.00315559971460505,-0.0300940115797719,-0.0494940579938688,0,0
"r2_100",3.02407273864669,-0.0055525817097795,-0.00065363526035185,-0.0171395873022382,0.338966344481188,-0.0189807605719162,-0.00787948320083327,-0.00807552869611419,-0.0120968651458002,-0.00213117872342188,0.00331185932731198,-0.0295665629771041,-0.0472455516229072,-0.0105397903151943,0
"r2_100",3.09521366546604,-0.00555241560059914,-0.000648892083188813,-0.0169783586948785,0.338368414580359,-0.0188581199667156,-0.00795317725024686,-0.007268933707184,-0.0114697787367941,-0.00213522159245324,0.00337949159749123,-0.0302968053733071,-0.0483162967578104,-0.00942738405444102,-0.00125252849614573
