"","(Intercept)","calcium","hemoglobin","phosphate","chloride","pre_urea","pre_creatinine","sodium","wbc","magnesium","albumin","glucose_r","platelets","potassium","total_co2"
"r2_050",0.0710492122063092,0.0313306834936511,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_078",0.0585541084344129,0.022059998793126,0.000316487808188248,0,0,0,0,0,0,0,0,0,0,0,0
"r2_091",0.0394698265156081,0.0143279964698684,0.000205250512338557,0.00498259254223546,0,0,0,0,0,0,0,0,0,0,0
"r2_094",0.0603610348497901,0.012023507766892,0.000172151915287092,0.00420217188080031,0.000498571352195028,0,0,0,0,0,0,0,0,0,0
"r2_096",0.0515813913354063,0.0102252061470608,0.000146419482093831,0.00381234627402375,0.000424319124417061,0.000295962347314592,0,0,0,0,0,0,0,0,0
"r2_097",0.0410025498687348,0.00815328475653861,0.000116357669722972,0.00306840124684914,0.000337295467352825,0.000255238236546446,6.92139275658142e-06,0,0,0,0,0,0,0,0
"r2_098",0.047213963938679,0.00658041744444074,9.37329686008664e-05,0.00247450502682272,0.000364238280363085,0.000205729986382941,5.83203718924575e-06,0.000434580990701771,0,0,0,0,0,0,0
"r2_099",0.034023802363922,0.00469423653357699,6.68270952009631e-05,0.0017704042205955,0.000261298244994485,0.000147143573017899,4.18440910371582e-06,0.000310007205981557,0.000311743891783806,0,0,0,0,0,0
"r2_099",0.0313121157484879,0.00439873618965515,6.13513615205304e-05,0.00162947261084799,0.000239613350271828,0.000135477097215214,3.86797749683886e-06,0.000284294013809078,0.000286213402132343,0.00446262106278035,0,0,0,0,0
"r2_099",0.0288266847342548,0.00411199254464759,5.7609601298601e-05,0.00149571430685212,0.000224138685605328,0.000125263297540773,3.56011837699808e-06,0.000264991920121919,0.000270211189211644,0.00409017577880611,0.000192212478406187,0,0,0,0
"r2_099",0.0281767991279881,0.00377256648821722,5.2704448621957e-05,0.00136381810890775,0.000205222558519673,0.000114816304123724,3.2750057447578e-06,0.000244478849450461,0.000246222459049557,0.00371013267000072,0.0001764392383449,0.000142264144654229,0,0,0
"r2_100",0.0275739767406857,0.00368461674821953,5.15028248074728e-05,0.0013301025835154,0.000200458240264808,0.000112429347138217,3.19825248899494e-06,0.00023839625345287,0.000268828746758986,0.00362282817376398,0.000172142049368318,0.00013863515686442,9.50659468968699e-06,0,0
"r2_100",0.0275685536389156,0.00358920439527553,5.01728376247811e-05,0.00130163805365488,0.000196147051506783,0.000110737927629795,3.20380381192851e-06,0.000235545476644493,0.000262405481999054,0.00354429874026103,0.000168182700319211,0.000135079717373486,9.26712778608558e-06,0.000967810862977546,0
"r2_100",0.0278206222271345,0.00358640661048451,5.00366938223983e-05,0.00133783825034655,0.000232149243289468,0.000114374364785148,3.22380225710398e-06,0.000263400151809333,0.00026242578253508,0.00354323558654998,0.000168999601145076,0.00013453027943242,9.21343618743602e-06,0.000963922378709706,0.000288392268254783
