"","(Intercept)","calcium","hemoglobin","phosphate","chloride","pre_urea","pre_creatinine","sodium","wbc","magnesium","albumin","glucose_r","platelets","potassium","total_co2"
"r2_050",-8.9686238800083,3.87415972125856,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_078",-4.73050792846804,4.05758698166424,-0.0436997667954081,0,0,0,0,0,0,0,0,0,0,0,0
"r2_091",-6.20965684605113,4.1987388993317,-0.044155653848462,0.690232512688319,0,0,0,0,0,0,0,0,0,0,0
"r2_094",-2.29220666011252,4.17571540748257,-0.0439467233610312,0.654063647217031,-0.0386282418168187,0,0,0,0,0,0,0,0,0,0
"r2_096",-2.64190678006705,4.15187251295209,-0.0437063580412426,0.557449405860287,-0.0380279791507053,0.0214086583283368,0,0,0,0,0,0,0,0,0
"r2_097",-2.51848905772914,4.21818096521136,-0.0433854844839009,0.600927935725218,-0.0391188643134552,0.0302052807211264,-0.000614014556560154,0,0,0,0,0,0,0,0
"r2_098",-5.39071601677732,4.18316960332618,-0.0432173515995529,0.590208908419606,-0.059766768992054,0.0307154952062189,-0.00075977138414401,0.0369890648724491,0,0,0,0,0,0,0
"r2_099",-5.93191827430724,4.17014355923772,-0.0433434041627038,0.573413888022075,-0.0566021408770995,0.0295270199375335,-0.000708375946414946,0.0369866440518674,0.035629662559174,0,0,0,0,0,0
"r2_099",-6.04911350929588,4.12402988782028,-0.043434769934946,0.566674222186829,-0.0565331567756419,0.0289273441165231,-0.000734071194732743,0.0373809760699445,0.0358203048852734,0.232488927744795,0,0,0,0,0
"r2_099",-6.13980346142815,4.0859270669965,-0.044066921183453,0.570064727784773,-0.0543092468992159,0.028313960554614,-0.000748481849743197,0.0350860407925526,0.0389306361599036,0.228126832995419,0.00980933666367428,0,0,0,0
"r2_099",-6.71840599005116,4.1102443593011,-0.0439630539014886,0.571191329897503,-0.053334183213151,0.0279069455333478,-0.000724945776271069,0.0373818858916979,0.0382899298757924,0.225844038925028,0.0105932440925371,0.00803749529846033,0,0,0
"r2_100",-6.64437835397619,4.11600522427407,-0.0440623184915124,0.57290144650819,-0.053660687812404,0.0276596098351088,-0.000731110486383645,0.0372643050035038,0.0415632308860501,0.231783291772209,0.0106344294962463,0.00791987753063461,-0.000252260592554313,0,0
"r2_100",-6.48234272775397,4.11651452864997,-0.0440587830144073,0.576176519117892,-0.0531654215615481,0.02808872642102,-0.000711762782470298,0.0362255145862232,0.0419323156641947,0.240313458282697,0.0109507926727531,0.00799405389318335,-0.000257851471910504,-0.0252580381775191,0
"r2_100",-6.40870533825105,4.12242846466628,-0.0441172032837513,0.570620003551844,-0.0552264706686163,0.0275929399552164,-0.000719891295981424,0.0381982915822063,0.0414341706783048,0.246659571303325,0.0105934036181243,0.007861181359545,-0.000262345368878466,-0.0247204322636243,-0.00472584740927832
