"","(Intercept)","chloride","hemoglobin","pre_urea","wbc","pre_creatinine","platelets","potassium","sodium","albumin","glucose_r","phosphate","magnesium","calcium","total_co2"
"r2_056",0.141391552538598,0.0014284207261035,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_074",0.124052751175338,0.0011794891359739,0.000407258310596284,0,0,0,0,0,0,0,0,0,0,0,0
"r2_085",0.0979953067159989,0.00091502912510981,0.000316416537009686,0.000599677997720532,0,0,0,0,0,0,0,0,0,0,0
"r2_087",0.0915001580179351,0.000838893272268658,0.000286798037540379,0.000544398311812975,0.00133023924916008,0,0,0,0,0,0,0,0,0,0
"r2_088",0.0886607359768694,0.000807385229839402,0.000275706117405438,0.00058886354372859,0.00128416834379089,1.628288070186e-05,0,0,0,0,0,0,0,0,0
"r2_093",0.072278885205002,0.000650039606949034,0.000221636738066323,0.000474005888193668,0.00115722602285985,1.30637679457564e-05,4.08797671036373e-05,0,0,0,0,0,0,0,0
"r2_096",0.0536851322822824,0.000468529787153992,0.000159651604743503,0.00034824332944895,0.000836839655513218,9.6587158787164e-06,2.98680719633004e-05,0.00310214868125898,0,0,0,0,0,0,0
"r2_098",0.0646104276745502,0.00049198193636529,0.000125853320764333,0.000274632933253601,0.000659681027917654,8.07613583719221e-06,2.35445474790489e-05,0.00247584326596964,0.000589277294644964,0,0,0,0,0,0
"r2_098",0.0556891576604718,0.000430543493154942,0.000110436590909366,0.000236394633616099,0.000579494605512173,6.93172450964949e-06,2.02290394689713e-05,0.00212291383533707,0.00051426957586143,0.000362328068259498,0,0,0,0,0
"r2_099",0.0472919226097304,0.000346076062799069,8.88781328332694e-05,0.000190082457366088,0.000464280472300557,5.60409091108427e-06,1.63279089809002e-05,0.0016970009831741,0.000416681860081033,0.000293027478785399,0.000238150813440313,0,0,0,0
"r2_100",0.0257506472018166,0.000189322925592887,4.84070577920871e-05,0.000106561432031862,0.00025290993369803,3.07058977681174e-06,8.90027006400531e-06,0.000928706772790214,0.000227219346718108,0.000159976923740511,0.000129603039848784,0.00124611070119751,0,0,0
"r2_100",0.013744009869764,0.000100696086709116,2.57784171084633e-05,5.68678223379335e-05,0.000134775684081019,1.64435608049145e-06,4.75253230960727e-06,0.000496740064785706,0.000120877106227119,8.5130872751089e-05,6.9017933842554e-05,0.00066473296142753,0.00178962959748304,0,0
"r2_100",0.0045896054911631,3.26545090635519e-05,8.35276068835462e-06,1.84356207941318e-05,4.36851949822323e-05,5.33368408093779e-07,1.54278897367652e-06,0.000161120895543063,3.92135484213498e-05,2.7999011301561e-05,2.24880354886292e-05,0.000216696357625683,0.000590053913371146,0.000597529794896825,0
"r2_100",0.00409800148354626,3.41957823817647e-05,7.37044785849342e-06,1.68474418991265e-05,3.86555425457251e-05,4.74868833788574e-07,1.35714704209045e-06,0.000141986592022484,3.87990679744094e-05,2.48937860036706e-05,1.98164253910266e-05,0.000197064720188675,0.000521921636823551,0.000528280765626837,4.24804281335837e-05
