"","(Intercept)","chloride","hemoglobin","pre_urea","wbc","pre_creatinine","platelets","potassium","sodium","albumin","glucose_r","phosphate","magnesium","calcium","total_co2"
"r2_056",19.7559484834901,-0.200575390902838,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_074",23.9486116172986,-0.199004519623107,-0.0407904597718228,0,0,0,0,0,0,0,0,0,0,0,0
"r2_085",22.1044027140895,-0.19405965652365,-0.0404679622315593,0.0580245539249685,0,0,0,0,0,0,0,0,0,0,0
"r2_087",20.887048961312,-0.187192190373068,-0.0406555135057292,0.056305232589912,0.0738234415920399,0,0,0,0,0,0,0,0,0,0
"r2_088",21.2761353178078,-0.188982855250806,-0.0402982816173483,0.0654426291152687,0.0697590332459962,-0.000548602046169472,0,0,0,0,0,0,0,0,0
"r2_093",22.4135087378029,-0.194187134915943,-0.0415657846772217,0.0623223560462021,0.115907436234565,-0.000604139269235791,-0.00356938660239919,0,0,0,0,0,0,0,0
"r2_096",20.9459710821403,-0.191810865986828,-0.0419850468619654,0.0546184123482163,0.112296931025523,-0.000848094734988588,-0.00353861031376595,0.347132719355633,0,0,0,0,0,0,0
"r2_098",16.5320927004711,-0.22119789414967,-0.0418770784590794,0.0542687247427528,0.111821652275763,-0.00109121323509238,-0.00353143834423741,0.382018952323423,0.0532816130398139,0,0,0,0,0,0
"r2_098",16.895091602237,-0.227435571579655,-0.0401302623150182,0.0555276610627788,0.103129059506742,-0.00105628001683694,-0.00350810432094848,0.392399044058065,0.0600148583851798,-0.0260946614908204,0,0,0,0,0
"r2_099",18.3407741167312,-0.230056524541294,-0.0404076614371362,0.0566869768600486,0.105476679904578,-0.00112246786837425,-0.00356388823421727,0.394346418682842,0.0537863883427764,-0.0291654952334589,-0.0216005299253338,0,0,0,0
"r2_100",18.2090622487173,-0.226693135498536,-0.0405987638304421,0.0522762733805051,0.104133198304644,-0.00118171821036312,-0.00364535269149068,0.378369579135762,0.0510887320318845,-0.0273130489261531,-0.0215291473155666,0.215504206737706,0,0,0
"r2_100",18.0022678653066,-0.226603999352986,-0.0407375500018366,0.0515809773100298,0.104933472416264,-0.00121355889082598,-0.00371965898596181,0.369925608098144,0.0513637384376768,-0.0279571549663632,-0.021394520866103,0.210572940297429,0.31994842794358,0,0
"r2_100",18.3573271441703,-0.226787968983597,-0.0407081146911356,0.0514126879385939,0.105419640114887,-0.00121067907043345,-0.00369007060424895,0.37013374152934,0.051535151606649,-0.0263751552011864,-0.0221871206908021,0.202967130809915,0.355814818398199,-0.194663462976281,0
"r2_100",18.3159886541475,-0.225647518661391,-0.0406755835780694,0.051690231134152,0.105694213972912,-0.00120632857124075,-0.00368733662492633,0.369897973126093,0.0504474928189704,-0.0261778950795397,-0.0221144242956297,0.20603758143212,0.352233578581594,-0.197953600166447,0.0026076690963639
