"","(Intercept)","pre_urea","sodium","pre_creatinine","total_co2","chloride","hemoglobin","albumin","potassium","phosphate","wbc","calcium","magnesium","glucose_r","platelets"
"r2_061",0.00846032085921095,0.000357892642876608,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_067",0.0813809927285813,0.000331433142569728,0.0005915084731608,0,0,0,0,0,0,0,0,0,0,0,0
"r2_074",0.0753902126917968,0.000339834956878305,0.000553057990608805,9.59399342131789e-06,0,0,0,0,0,0,0,0,0,0,0
"r2_089",0.0510157592421729,0.000237391739013457,0.000372455008114432,6.4041209840306e-06,0.00051412962929011,0,0,0,0,0,0,0,0,0,0
"r2_091",0.0471896672152125,0.000222804821817312,0.00050812375664435,6.17898277404745e-06,0.000545666520048683,0.000440111390401932,0,0,0,0,0,0,0,0,0
"r2_092",0.0448893917018222,0.000206472687290548,0.000470259271741517,5.71315300937752e-06,0.000507837735551406,0.000407730697931228,9.18564850081988e-05,0,0,0,0,0,0,0,0
"r2_093",0.0418072043004991,0.000191689805530518,0.000441684731677367,5.30951085987536e-06,0.000471303989381973,0.000382302674764192,8.69347008041116e-05,0.000277045240563954,0,0,0,0,0,0,0
"r2_095",0.0385008710455858,0.000172378980637922,0.000394638959259957,4.85174356573079e-06,0.000416839969809955,0.000338601223870288,7.68785429640857e-05,0.000245357020828419,0.00147714477719076,0,0,0,0,0,0
"r2_096",0.0356928676729174,0.000161110698602788,0.000371291891117456,4.49478303825156e-06,0.000399546400099803,0.000321954685264111,7.11167460528712e-05,0.00022799363736929,0.0013729148552419,0.00190604862521829,0,0,0,0,0
"r2_096",0.0336622194583405,0.000149831402032771,0.000347084733079356,4.19691815170695e-06,0.000375461864304711,0.000305376727301626,6.60799820160268e-05,0.000218472763712641,0.00127682463282792,0.00176925033136656,0.000311564372496993,0,0,0,0
"r2_097",0.0320411269562808,0.0001393583997095,0.000323170311636862,3.91364319865402e-06,0.000352147330302347,0.000284606466084997,6.15178628732659e-05,0.00020755025559551,0.00118870411986835,0.00164818733952386,0.000290666924143594,0.00433038840444882,0,0,0
"r2_097",0.0317740773850955,0.000138707485476551,0.000320512801887,3.90104036788662e-06,0.000350437268272557,0.000281944344262819,6.09760936413834e-05,0.000205512146091975,0.0011818315382656,0.00164006632683064,0.000288294605966196,0.00436513772071449,0.00435184804551915,0,0
"r2_097",0.0345673195639141,0.000142112487106923,0.000328787426577528,4.01727927495318e-06,0.000359487427090018,0.000289210266837947,6.23087479723733e-05,0.00021093109317177,0.0012030305839559,0.00166986560528648,0.000293517162325058,0.00446981584430693,0.00441161480221666,0.00016794388140108,0
"r2_097",0.0347665242391112,0.000142929913399185,0.000329162579028627,4.02868053771963e-06,0.000360394411842918,0.000290109337886865,6.25292243436848e-05,0.000211193289698596,0.00120458235874203,0.00167185282841441,0.000327944941525246,0.0044818153719476,0.00442786595134179,0.000168118102557024,1.15137307110112e-05
