"","(Intercept)","chloride","wbc","hemoglobin","platelets","pre_urea","calcium","sodium","total_co2","phosphate","potassium","pre_creatinine","glucose_r","albumin","magnesium"
"r2_015",0.164983016802195,0.00166675559058597,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_028",0.171904293281691,0.00168876638573056,0.00265845529965403,0,0,0,0,0,0,0,0,0,0,0,0
"r2_063",0.130960606442626,0.00121874775210585,0.00191820591259869,0.00041572670428169,0,0,0,0,0,0,0,0,0,0,0
"r2_075",0.108871396507875,0.00100365866425576,0.00176910709828904,0.000342181951135056,6.27263748728185e-05,0,0,0,0,0,0,0,0,0,0
"r2_080",0.100281105551268,0.000908704363225936,0.00161887114418551,0.00031034972421374,5.70575679381168e-05,0.000591555912862388,0,0,0,0,0,0,0,0,0
"r2_089",0.0827240765471698,0.00067931828627289,0.00121072928022744,0.000232330400302213,4.26564958860289e-05,0.000442995883672802,0.0161768040073242,0,0,0,0,0,0,0,0
"r2_092",0.101322637793255,0.000761130720845323,0.00105015003434185,0.000201499070203633,3.70053262545781e-05,0.000387877925564222,0.0140773911299657,0.000889191369617699,0,0,0,0,0,0,0
"r2_094",0.085929969198962,0.000727067456603248,0.000881366908449547,0.000169334279468434,3.0923023968276e-05,0.000356801136302309,0.0118608814438199,0.000813868193306178,0.000937714976828512,0,0,0,0,0,0
"r2_096",0.0726041211771048,0.000628747413637115,0.00074051071651001,0.000142421916998058,2.60088438077653e-05,0.000307242424762941,0.00999536879943381,0.000697837648893793,0.000816741615570228,0.00383885532539545,0,0,0,0,0
"r2_097",0.0631963894781915,0.000534749407808858,0.000631655281201461,0.000121107707569604,2.24479902952542e-05,0.000269573521975903,0.00850698338284703,0.000595132808621504,0.000694799549436349,0.00329006979868107,0.00230471302621311,0,0,0,0
"r2_098",0.0560761464063145,0.000484448080713234,0.000551643381144346,0.000105425291548511,1.96275670850194e-05,0.000243699539248822,0.00742459297392243,0.000551501414072372,0.000610536195817906,0.00287415268748362,0.00207252452523136,6.83684049958378e-06,0,0,0
"r2_099",0.0494284658808139,0.00040276519731273,0.000457563173929409,8.75408348473429e-05,1.63701388702978e-05,0.000202711224323515,0.0061776977778123,0.000460212210719669,0.000507167429291521,0.00236992784796551,0.00170860325168295,5.71427035485585e-06,0.000237385892220481,0,0
"r2_099",0.0406023438226239,0.000338414685371255,0.000382609227401676,7.29752136016734e-05,1.34138850725175e-05,0.00016598334345698,0.00514824074928645,0.00038386974104174,0.000418444284028979,0.00194297835374222,0.00140062327306802,4.67096302295577e-06,0.000196203386470274,0.000246828573274458,0
"r2_099",0.0359446119499136,0.000299939893377628,0.000339057582604162,6.46480703421706e-05,1.19038814365436e-05,0.000147773192333931,0.00463368478447394,0.000340316480596199,0.000372606625658539,0.00172850471739471,0.00124540046479495,4.16519516309874e-06,0.000173814900696052,0.000218349720335339,0.00457790725045123
