"","(Intercept)","chloride","wbc","hemoglobin","platelets","pre_urea","calcium","sodium","total_co2","phosphate","potassium","pre_creatinine","glucose_r","albumin","magnesium"
"r2_015",-10.0769613823962,0.0869581671741179,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_028",-7.64809618252193,0.0736560132724025,-0.136678122079619,0,0,0,0,0,0,0,0,0,0,0,0
"r2_063",-2.9231612437017,0.0760475598655458,-0.13367847494639,-0.0467701736866287,0,0,0,0,0,0,0,0,0,0,0
"r2_075",-4.34753536321281,0.0828961808866565,-0.200006361658841,-0.0448271318833804,0.00514517415825932,0,0,0,0,0,0,0,0,0,0
"r2_080",-5.45574263049026,0.0857014842830339,-0.209399001223399,-0.0442784704688744,0.00549779233311862,0.0340243289875579,0,0,0,0,0,0,0,0,0
"r2_089",-1.80658441377064,0.0853352998738522,-0.212322727072454,-0.0427562988110028,0.00579861332558791,0.0345739460295807,-1.69175696242206,0,0,0,0,0,0,0,0
"r2_092",2.93038417688261,0.11724682801395,-0.21324817085755,-0.0428475271755764,0.00574406860800848,0.0380363286940789,-1.61697684275444,-0.0588843385864036,0,0,0,0,0,0,0
"r2_094",1.84421761446664,0.144100129847672,-0.206606120720177,-0.0416418263082502,0.00579715988088569,0.0493407269919524,-1.72311255548453,-0.0841146465038708,0.0718760815052972,0,0,0,0,0,0
"r2_096",2.36761013500957,0.132922949010188,-0.205727357946819,-0.0416075298042189,0.00588117127248243,0.0543512311798387,-1.77335668067958,-0.0737456260031042,0.0560093324668921,-0.285946186905712,0,0,0,0,0
"r2_097",3.33657442666044,0.133345697857484,-0.205003708633688,-0.0413982021541764,0.00582942061217524,0.0590978955449005,-1.74215097373138,-0.0770799381930695,0.0554406679281011,-0.256214057428147,-0.163904275595453,0,0,0,0
"r2_098",4.03745559715006,0.142056456236572,-0.201916162799845,-0.0415103293990486,0.00590028735678291,0.0548427336883345,-1.78000083059896,-0.0893472808710244,0.0607183509990745,-0.271021367998446,-0.197313882668754,0.000443374352084987,0,0,0
"r2_099",2.64977472973901,0.144463379454571,-0.204609870443808,-0.0411259607846723,0.00594013654723279,0.054102653644799,-1.71940972495359,-0.0839536958603924,0.0626470480320882,-0.267758210152419,-0.199230647663386,0.000509176533759277,0.0194741968164579,0,0
"r2_099",2.93900499049776,0.138160567536118,-0.211009766958736,-0.0399810211090977,0.00593529852786694,0.054805879119287,-1.6416070604431,-0.0778812863815083,0.0583887357214768,-0.280239222078891,-0.190752576416003,0.000522302861079552,0.0178932177912871,-0.0196864340666808,0
"r2_099",2.90717977165994,0.137118946387249,-0.210510356716816,-0.0401187026920921,0.00587940308749609,0.0539440160952016,-1.6887881757448,-0.0766324966224794,0.0559493082675215,-0.289023009007693,-0.197290052411961,0.000493100535309848,0.0177388573410511,-0.0199803480186331,0.271397202285704
