"","(Intercept)","glucose_r","phosphate","pre_creatinine","calcium","chloride","potassium","sodium","hemoglobin","total_co2","magnesium","platelets","albumin","pre_urea","wbc"
"r2_076",0.0099813518237468,0.00101047383512878,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_091",0.0122189085255395,0.000629314101520434,0.00593928684703055,0,0,0,0,0,0,0,0,0,0,0,0
"r2_095",0.0115042160020047,0.000493321259894721,0.00479613744672162,1.05971483203315e-05,0,0,0,0,0,0,0,0,0,0,0
"r2_097",0.0260790969958555,0.000389054923264927,0.00377197700263507,8.31808684957273e-06,0.0105471338150857,0,0,0,0,0,0,0,0,0,0
"r2_098",0.0482917082324246,0.00035573056080481,0.00334504367323444,7.38564657694372e-06,0.00932933979558028,0.000398842761195764,0,0,0,0,0,0,0,0,0
"r2_099",0.0361443957329617,0.00026109956623413,0.00247781671798097,5.66399793526815e-06,0.00684029219416246,0.000292456574745943,0.00185320537262008,0,0,0,0,0,0,0,0
"r2_099",0.0411990805107582,0.000205084082547682,0.00192240302444559,4.61449635588793e-06,0.00530049699915527,0.000295158235269668,0.0014540718921374,0.000359308366731319,0,0,0,0,0,0,0
"r2_100",0.0252873913778492,0.000123766807629426,0.00116563372303763,2.78324977678685e-06,0.00320552773008888,0.000177437045796666,0.000877904378832458,0.000215929857713747,4.54545947499609e-05,0,0,0,0,0,0
"r2_100",0.0202388159003015,9.8165847936616e-05,0.000969412626582647,2.2591835869867e-06,0.00254947661175895,0.000162736453803425,0.000696758859741995,0.000188323734708616,3.61248564755618e-05,0.000199937893044206,0,0,0,0,0
"r2_100",0.0155989750478389,7.56654295295355e-05,0.000751735198610539,1.75857599214563e-06,0.0020023410694755,0.000125360826738288,0.000539990435512322,0.000145083781939273,2.78497056131485e-05,0.000154425650750138,0.00200994148143209,0,0,0,0
"r2_100",0.0134320345669663,6.45253619690293e-05,0.000641880351810704,1.51439733292209e-06,0.00171352606903554,0.0001077677342564,0.000461329316311626,0.000123888942202354,2.38056321447846e-05,0.000132522029374562,0.00171693237536613,3.96932366962864e-06,0,0,0
"r2_100",0.0103492452346798,5.01337532981011e-05,0.000494089893934429,1.16392163673742e-06,0.00133803322577829,8.47676471263797e-05,0.000355060116694095,9.69436420788244e-05,1.85800989931732e-05,0.00010258894936227,0.00131662849249162,3.07661382193278e-06,6.16497922063879e-05,0,0
"r2_100",0.00824971842065037,3.99717791948122e-05,0.000397950915165398,9.56827029689695e-07,0.00106583940434841,6.82514811140003e-05,0.000286257642917731,7.791779055345e-05,1.48373017189141e-05,8.51667423820133e-05,0.00105378323352795,2.45570597407261e-06,4.91467488701037e-05,3.39253275370339e-05,0
"r2_100",0.0082061247541316,3.96817960151112e-05,0.000394616176933859,9.50910561541782e-07,0.00105786634908451,6.84760260377122e-05,0.000284323881342817,7.76939670276821e-05,1.47591002256738e-05,8.5065780057123e-05,0.00104513238485905,2.71764614576408e-06,4.98490579783779e-05,3.37364958424997e-05,7.74065616721931e-05
