"","(Intercept)","glucose_r","phosphate","pre_creatinine","calcium","chloride","potassium","sodium","hemoglobin","total_co2","magnesium","platelets","albumin","pre_urea","wbc"
"r2_076",-1.93350346072774,0.215884924323097,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_091",-0.323396463629328,0.214806914504737,-0.908341980863469,0,0,0,0,0,0,0,0,0,0,0,0
"r2_095",-1.02099554691926,0.224461699399266,-1.04896619142775,0.0011199611485651,0,0,0,0,0,0,0,0,0,0,0
"r2_097",-3.28748034606673,0.229112070863435,-1.01477905583863,0.00106418111664036,0.97661663523262,0,0,0,0,0,0,0,0,0,0
"r2_098",-5.93226662057715,0.23471238390181,-0.995801610058568,0.00110713794876859,1.00698212044264,0.0248484933971553,0,0,0,0,0,0,0,0,0
"r2_099",-5.14789880499199,0.236185166270941,-0.958621231704882,0.00128519469415517,1.02625839921216,0.0239476139270999,-0.198770688113746,0,0,0,0,0,0,0,0
"r2_099",-2.29076381317728,0.232872150561047,-0.945824978909026,0.00142137642739047,1.05123202820315,0.0418409185891002,-0.221312676164656,-0.033938458921783,0,0,0,0,0,0,0
"r2_100",-1.54906167032127,0.23191423304432,-0.944167396510484,0.00142362296929406,1.07577672875304,0.0426082031227401,-0.218679415798831,-0.0348357458885201,-0.0071024885180558,0,0,0,0,0,0
"r2_100",-1.29615277148528,0.231320606199057,-0.970531903724215,0.00138003185760977,1.09634755640123,0.0353549537864185,-0.220180694314261,-0.0279020440258065,-0.00737156592781383,-0.0176462878759625,0,0,0,0,0
"r2_100",-1.33919301141036,0.231206631462885,-0.978017059081922,0.00135654257991355,1.06107976716358,0.034926549505535,-0.225541879881167,-0.0272685080484423,-0.00745168391260385,-0.0188756239286718,0.188518117709977,0,0,0,0
"r2_100",-1.46397221257911,0.231195873542408,-0.980407143001158,0.00137058829178472,1.05240065818688,0.03581344453661,-0.224980551928934,-0.0274641565096491,-0.0073620746899496,-0.0182760713990379,0.180862670137127,0.000275974850676126,0,0,0
"r2_100",-1.53511993939608,0.231704209842008,-0.976670084326192,0.00136442047562959,1.03004307256111,0.0375554680152438,-0.227351746334921,-0.0292200610871202,-0.00768001251523117,-0.0170875029379181,0.176732175052229,0.000309137862144575,0.00577958664419347,0,0
"r2_100",-1.56461678429955,0.231556318667063,-0.981582424303751,0.00134472098241223,1.02943727124331,0.0383855957989812,-0.23109543330835,-0.0300914725860583,-0.00758863849396395,-0.0150774695891774,0.168057111575797,0.000322511202006846,0.00562533820562937,0.00285841226809653,0
"r2_100",-1.55570030794291,0.23158505352764,-0.981567987253834,0.00134384635434014,1.03009447012233,0.0382396127654027,-0.230861604492613,-0.0299809563361951,-0.00757189403143273,-0.0152179909366648,0.167653115386068,0.000340494102520213,0.00547134114539344,0.00289334848125003,-0.00114319844211251
