"","(Intercept)","phosphate","sodium","chloride","hemoglobin","pre_creatinine","potassium","wbc","glucose_r","pre_urea","albumin","calcium","platelets","total_co2","magnesium"
"r2_039",0.0293773852620741,0.0160335937904592,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_043",0.301865697420665,0.015570590370717,0.00218806326844067,0,0,0,0,0,0,0,0,0,0,0,0
"r2_052",0.279883192312452,0.0146087073865843,0.00265857281722334,0.00226507194903268,0,0,0,0,0,0,0,0,0,0,0
"r2_069",0.242372291255543,0.0124473457361748,0.00223096534693885,0.00191255688729872,0.000506074847756761,0,0,0,0,0,0,0,0,0,0
"r2_076",0.217000683124684,0.0113847319651486,0.00207384979182714,0.00174010067977972,0.000447310344851524,2.57124555229851e-05,0,0,0,0,0,0,0,0,0
"r2_084",0.185888229966701,0.0094446228680869,0.0017241016145617,0.00143093603403014,0.000366924064039962,2.23140487090251e-05,0.00714704245398841,0,0,0,0,0,0,0,0
"r2_092",0.136123448132988,0.00687547589619828,0.00125071499351204,0.00104422840237497,0.000265939956752899,1.6253686867423e-05,0.00518922391500623,0.00124148570431222,0,0,0,0,0,0,0
"r2_096",0.103004960495978,0.00490799845462765,0.000909669621744856,0.00075121129723752,0.000191507216249318,1.17639538232349e-05,0.00370275428654177,0.000891663102973045,0.000518651025769487,0,0,0,0,0,0
"r2_099",0.0530074100866397,0.00259712309609724,0.000468151622268254,0.000386537048633725,9.8608231647507e-05,6.40442463748272e-06,0.0019332864156119,0.000459919059664771,0.000267345581313268,0.000221029406313747,0,0,0,0,0
"r2_100",0.0344425776977228,0.00167789081797867,0.000306063927579259,0.000254581720083718,6.50851212001782e-05,4.13410478246318e-06,0.00125118096146429,0.000303654399530043,0.000174568353652685,0.000143032178509626,0.000215366131233253,0,0,0,0
"r2_100",0.0256117793076018,0.00121005538286074,0.000219997873621292,0.000182931778696278,4.67309622124452e-05,2.97214326695714e-06,0.000899423063984253,0.000218464907061265,0.000126084325989062,0.000102717315225317,0.000157067530470637,0.00327812145333138,0,0,0
"r2_100",0.0181057745810057,0.00085240315545325,0.000154850084840804,0.000128979439298694,3.29544290858066e-05,2.09327223356855e-06,0.000632989930140406,0.000172179837027056,8.87085809605184e-05,7.25493280671058e-05,0.00011062541927741,0.00231408934808647,6.07627919782294e-06,0,0
"r2_100",0.0177790035752991,0.000850793718924751,0.000168089347951075,0.000148185433024108,3.19544750716936e-05,2.04532695570513e-06,0.000613306618167397,0.000167537392709001,8.59137769183928e-05,7.26809878181813e-05,0.000108081595139031,0.00225431790558512,5.87368827043068e-06,0.000183228890783131,0
"r2_100",0.017171132450759,0.000825725521407882,0.000162572887742847,0.000143284552456162,3.08830870139374e-05,1.98975907511505e-06,0.000594941360475094,0.000161971498466663,8.3033270352905e-05,7.05928627570987e-05,0.000104308038536866,0.00221356166760509,5.68661375757356e-06,0.000177998241575913,0.00218691613236284
