"","(Intercept)","phosphate","sodium","chloride","hemoglobin","pre_creatinine","potassium","wbc","glucose_r","pre_urea","albumin","calcium","platelets","total_co2","magnesium"
"r2_039",1.30835897418611,-1.59921736431159,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_043",10.8988082426552,-1.58115380182779,-0.0698526506433077,0,0,0,0,0,0,0,0,0,0,0,0
"r2_052",11.3071365291942,-1.45451609758344,-0.160195129195127,0.119428673768937,0,0,0,0,0,0,0,0,0,0,0
"r2_069",15.9947270994045,-1.42824950652562,-0.161474856533027,0.123426074427571,-0.0462740889980831,0,0,0,0,0,0,0,0,0,0
"r2_076",18.142259746661,-1.61225799201413,-0.201560876915489,0.149097714776176,-0.0470664057425089,0.00160135096758175,0,0,0,0,0,0,0,0,0
"r2_084",22.5135366481617,-1.49746798213412,-0.224789920151485,0.15821287269093,-0.0466129037171757,0.00219280652794943,-0.579699055716575,0,0,0,0,0,0,0,0
"r2_092",20.4171263022773,-1.56843831620775,-0.225592711369594,0.17081444109464,-0.0470028138079997,0.00236304145727386,-0.604005814559698,0.13739980332752,0,0,0,0,0,0,0
"r2_096",16.5902060385184,-1.5774170701895,-0.205830705880488,0.175383593733567,-0.0457981473589116,0.00252364438281464,-0.612177904391921,0.130498321897463,0.0599150699368786,0,0,0,0,0,0
"r2_099",16.6475524376026,-1.69019432373236,-0.207217975296368,0.175154522122765,-0.0451469551733772,0.00213316310299068,-0.673575388301243,0.125221788071394,0.0570957159691671,0.0415314394152269,0,0,0,0,0
"r2_100",16.0966685182534,-1.67562182716266,-0.213923327808912,0.182098630200277,-0.0470173579387043,0.00210006900129688,-0.68673119275458,0.133949067325281,0.0597291264619489,0.0398627221907706,0.0288601801816091,0,0,0,0
"r2_100",15.3801561055099,-1.66344286694336,-0.214178010920241,0.182555562464203,-0.0470854455457791,0.00209052884381091,-0.688666836856367,0.132335906735092,0.0612648760277226,0.0400637233489052,0.0258305934228521,0.357384013559572,0,0,0
"r2_100",15.5788634590022,-1.65763839564012,-0.214424983082055,0.181696076519244,-0.0473316064470019,0.00207788748864309,-0.690052677302189,0.141052854277139,0.0610312031857586,0.039420971110966,0.0257439228600933,0.377515793188278,-0.000688240178611167,0,0
"r2_100",15.6747532078721,-1.66430131585049,-0.212036700222778,0.179169345252169,-0.0474024343344948,0.00206926909391854,-0.689468809118064,0.140421825438045,0.0608785394565345,0.0388223534080703,0.0253155514820793,0.386324679553987,-0.000693216794220586,-0.0057633349670008,0
"r2_100",15.6823688514254,-1.66187656622551,-0.212372548103119,0.179451545848581,-0.0473678391391633,0.00207652231670764,-0.687784660242685,0.140289674550673,0.0609127900024116,0.039046088079821,0.0253848023940581,0.398535968137416,-0.000679467828326134,-0.00511502900399707,-0.0687914106737283
