"","(Intercept)","sodium","chloride","total_co2","pre_creatinine","wbc","albumin","pre_urea","potassium","glucose_r","magnesium","hemoglobin","platelets","phosphate","calcium"
"r2_019",0.220089971395035,0.00159739257553394,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_032",0.204575367917293,0.00193193218661429,0.00163934576369556,0,0,0,0,0,0,0,0,0,0,0,0
"r2_055",0.169503712993365,0.00167457442529357,0.00146066270519338,0.00178520222395956,0,0,0,0,0,0,0,0,0,0,0
"r2_070",0.145265894118764,0.00156436746823105,0.00134611840672925,0.00159963035000238,1.78968171493808e-05,0,0,0,0,0,0,0,0,0,0
"r2_076",0.136578632807659,0.00144637197689347,0.00126284957468227,0.00149855621530394,1.6582355836289e-05,0.00132516559989887,0,0,0,0,0,0,0,0,0
"r2_079",0.129046520767271,0.00136868804987711,0.00119816689803011,0.00140168699962028,1.54598145564413e-05,0.00126580159074397,0.000864478892912481,0,0,0,0,0,0,0,0
"r2_084",0.113480077462939,0.00120451180214827,0.00105946198158573,0.00129201258265762,1.44477195552002e-05,0.00110855416067172,0.000756429320260611,0.000519387053578082,0,0,0,0,0,0,0
"r2_089",0.101024023261232,0.00104420923895141,0.000910428331392056,0.00110778523184927,1.28097950730335e-05,0.000951651270442525,0.000649725113384803,0.000452612778063876,0.0038868358171853,0,0,0,0,0,0
"r2_093",0.0868726414644709,0.000852052176349907,0.000742114848114832,0.000902512595435052,1.04861545662467e-05,0.000770252750670347,0.000532377137917222,0.000367794792137171,0.00314019165327787,0.000440599312059051,0,0,0,0,0
"r2_096",0.0614823417754287,0.000602281064608272,0.00052442069923919,0.000641130939819086,7.46435331067021e-06,0.000544415647241793,0.000376218961000893,0.000261239291531056,0.0022286282847376,0.000311317134985977,0.00806055780411177,0,0,0,0
"r2_098",0.0420575961987094,0.000405308143757342,0.000352934071880523,0.000432477924454831,5.02314484238764e-06,0.000366857554796473,0.00025861242907089,0.000176216948240097,0.00149945871331709,0.000209559800524594,0.00542794451191847,7.8128024495072e-05,0,0,0
"r2_099",0.0342886364252552,0.000328083579987245,0.000286400222209281,0.000350635859215406,4.07189613874486e-06,0.000332155639647878,0.00020951144732757,0.000143304493073596,0.00121404313165977,0.000169698250742081,0.0044106774491538,6.3389483766124e-05,1.1641683580454e-05,0,0
"r2_099",0.0329003429409053,0.000319096996131688,0.000281238310893188,0.000347918511958189,3.90458783853948e-06,0.000318001001224729,0.000201484415173962,0.000138668178324343,0.0011678320323617,0.000162371372339423,0.00423374767409409,6.06743604322274e-05,1.11499326703835e-05,0.00161724715139229,0
"r2_099",0.0337853104729421,0.000319872641051817,0.000281921597459579,0.000350223019508194,3.91497930098049e-06,0.00031868936886699,0.000205232792705868,0.000138896010048361,0.00117058549484062,0.000163373314282054,0.004302898525886,6.07644653677248e-05,1.11887793009735e-05,0.00162466821487736,0.00435532533486082
