"","(Intercept)","sodium","chloride","total_co2","pre_creatinine","wbc","albumin","pre_urea","potassium","glucose_r","magnesium","hemoglobin","platelets","phosphate","calcium"
"r2_019",12.6503892510363,-0.0956006429622851,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_032",13.118017197889,-0.164158064162613,0.0907498784200547,0,0,0,0,0,0,0,0,0,0,0,0
"r2_055",10.9428422748332,-0.212565273579731,0.142088942942262,0.159071380534165,0,0,0,0,0,0,0,0,0,0,0
"r2_070",11.9792536599208,-0.267132157178804,0.18595141852307,0.199359872960239,0.00152947616410783,0,0,0,0,0,0,0,0,0,0
"r2_076",10.490763462843,-0.272674426374664,0.198751083661852,0.212648661179022,0.00162063948904275,0.0746047161742235,0,0,0,0,0,0,0,0,0
"r2_079",9.31114878430577,-0.285573065098729,0.211339327909459,0.220854700381145,0.00154054894684706,0.0887998972497398,0.0424795590928998,0,0,0,0,0,0,0,0
"r2_084",8.51066704865151,-0.294552848760123,0.221603019820163,0.246948640656906,0.0012161223101803,0.0848790109986781,0.0405967737252486,0.0331126824281646,0,0,0,0,0,0,0
"r2_089",10.3993906114199,-0.305551761275781,0.226305742875684,0.247247324277754,0.00144250368439013,0.0883664365030888,0.0436638668074103,0.0388386871189593,-0.268036638332956,0,0,0,0,0,0
"r2_093",7.87054513879816,-0.297193512821671,0.233216174265308,0.253017002151182,0.00157160964015245,0.0865097315655325,0.0495920264593782,0.037484304161052,-0.274069298037283,0.0384194558961804,0,0,0,0,0
"r2_096",7.32524786891778,-0.293334027136935,0.230471097726943,0.244891963552592,0.00146606274467893,0.0847370612336718,0.0472231596724306,0.0344286914752458,-0.298398109968481,0.0387104864003585,0.910326537660578,0,0,0,0
"r2_098",8.25187682818749,-0.294257106170613,0.231305151505447,0.24118556641723,0.00146611129460619,0.0871959893993575,0.0536901081586161,0.0328714864428102,-0.297698638176024,0.0378818536949616,0.933338066721672,-0.00955863889844378,0,0,0
"r2_099",8.57971743027658,-0.294025054833094,0.229559269587028,0.240032368525913,0.00144559247767275,0.0991228736280786,0.0536151536484554,0.0318917955725303,-0.299704305857477,0.0374185536167151,0.967647174765503,-0.00990549758938018,-0.000941617836350857,0,0
"r2_099",8.66488839392144,-0.292081011116473,0.22740405135979,0.236909601738827,0.00145427255825274,0.099122733331501,0.0529348426905694,0.0325815315605161,-0.295886406508324,0.0373055238058556,0.978679012233435,-0.00990252190948835,-0.000926522866727015,-0.0548723716726339,0
"r2_099",8.64940569466306,-0.292048945726873,0.227390800355061,0.236855764039593,0.00145426438607125,0.099111233711865,0.0528801493554022,0.0325768245838007,-0.29585179056762,0.0373333644202837,0.977315437305303,-0.00990657149594013,-0.000928112259568404,-0.0546430162221884,0.00750414586237731
