"","(Intercept)","sodium","total_co2","pre_urea","magnesium","phosphate","glucose_r","chloride","pre_creatinine","albumin","calcium","wbc","hemoglobin","platelets","potassium"
"r2_022",0.298220029194066,0.00216445328013189,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_073",0.182043237461019,0.00131190732781532,0.00176480183849125,0,0,0,0,0,0,0,0,0,0,0,0
"r2_085",0.135470425249568,0.000977698767748422,0.00137893796532332,0.000575871024180258,0,0,0,0,0,0,0,0,0,0,0
"r2_089",0.11789185473395,0.00084615968516659,0.00119605706835868,0.000507625215228463,0.0169652822804825,0,0,0,0,0,0,0,0,0,0
"r2_092",0.103443793707028,0.000740675580126312,0.00106405871615057,0.00046225741247019,0.014893729250843,0.00567260757328867,0,0,0,0,0,0,0,0,0
"r2_094",0.100305487102995,0.000706468981410843,0.000960744215395538,0.000419415118107341,0.0133362255916788,0.00510971181814074,0.000526214118817913,0,0,0,0,0,0,0,0
"r2_094",0.0996539607641771,0.000968410673044123,0.00109481865743938,0.000426857019510573,0.0131856325590923,0.00521033410318854,0.000521112064346527,0.000851299184991422,0,0,0,0,0,0,0
"r2_095",0.0899365980517951,0.000914313749686869,0.00100514957301723,0.000403218787895528,0.0125100368594666,0.00470665040772401,0.000473738049682721,0.000796242313910544,1.11862919344367e-05,0,0,0,0,0,0
"r2_096",0.0810288760075147,0.000823616187655734,0.000897737202803962,0.000358385710626746,0.0111104124039408,0.00419962371235282,0.00042678582179857,0.000720035720036698,9.9533187481207e-06,0.000501685106024228,0,0,0,0,0
"r2_097",0.077196162224892,0.000760736481118732,0.000832186649414872,0.000331008231789803,0.0104346312834528,0.00388876271127472,0.000395654652995553,0.00066501006528848,9.19450878371326e-06,0.000470724361363789,0.0104984229858257,0,0,0,0
"r2_097",0.0783082540261393,0.000765108409102731,0.000845088853338935,0.000330280703149025,0.0103548700890479,0.00391948881923658,0.000395732365349366,0.00067867424785066,9.20196352765035e-06,0.000486133000668926,0.0105388535576438,0.000689838238709368,0,0,0
"r2_097",0.0743598567959887,0.000715231778461147,0.000791727390929563,0.000309463623949947,0.00968554617295569,0.00366338286876548,0.000370019061839021,0.000634483132476645,8.60200719891532e-06,0.00046347939571331,0.00985105664210066,0.00064570071606071,0.000137254582656792,0,0
"r2_098",0.0710884126103002,0.000680938040655732,0.000754629351533897,0.000296081256525984,0.00924069646401715,0.00348704414834645,0.00035218005977403,0.000605268767844051,8.20748243042669e-06,0.000441253894799905,0.0093916183043399,0.000685722282934391,0.000131009011595751,2.4108615200051e-05,0
"r2_098",0.072426206627948,0.000685717007514269,0.000750779685658916,0.000297753993754676,0.00922420464315401,0.00348283186347525,0.000350226452030422,0.000604360640309681,8.39261489173051e-06,0.00043996140462437,0.00933659298135489,0.000683180404636992,0.000130261929304579,2.39855970012711e-05,0.00250940618091715
