"","(Intercept)","sodium","total_co2","pre_urea","magnesium","phosphate","glucose_r","chloride","pre_creatinine","albumin","calcium","wbc","hemoglobin","platelets","potassium"
"r2_022",19.8860406357349,-0.146268307436165,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_073",24.5023966761929,-0.128903299809734,-0.295757828798246,0,0,0,0,0,0,0,0,0,0,0,0
"r2_085",23.2845111151103,-0.139426587885049,-0.246029215401715,0.0655418441282863,0,0,0,0,0,0,0,0,0,0,0
"r2_089",24.2193330594599,-0.140435728520887,-0.237511935252424,0.0730953042215104,-1.2689298948668,0,0,0,0,0,0,0,0,0,0
"r2_092",23.7036644107625,-0.14180439655983,-0.22450127099958,0.0646585317466393,-1.36108173857693,0.382299387477089,0,0,0,0,0,0,0,0,0
"r2_094",21.370539585484,-0.127099440243008,-0.224022608164916,0.0639255167209009,-1.33382899728057,0.382801019284358,0.0336073043239218,0,0,0,0,0,0,0,0
"r2_094",21.2003354924232,-0.139614216052339,-0.213878295756144,0.0657827380722301,-1.33682485785287,0.406684618156531,0.0341409294235813,0.0158495918255559,0,0,0,0,0,0,0
"r2_095",21.618016307959,-0.157942500347714,-0.203360868813779,0.0577411673391747,-1.43616763047298,0.386323897064333,0.0392662830229616,0.0315362894252654,0.000734491146753936,0,0,0,0,0,0
"r2_096",20.8078517113174,-0.166387529737384,-0.197514197827251,0.0568488411196374,-1.48048885271309,0.413045675625923,0.0426447976537079,0.0398726628155334,0.000686128617360809,0.0299739108491049,0,0,0,0,0
"r2_097",19.9000099115184,-0.165668649056345,-0.201172842953431,0.0567753384049591,-1.57452697277523,0.427313335883075,0.0444711674417467,0.0393607803416751,0.000679890416590384,0.0258944578041349,0.503535921067202,0,0,0,0
"r2_097",19.5626998163348,-0.167386297866615,-0.1979028881119,0.056405934133237,-1.57586709290117,0.42388371872145,0.0442291030072222,0.0425191803913931,0.000700164435374649,0.0283045065173946,0.486738231317859,0.017363883927279,0,0,0
"r2_097",19.0095668621272,-0.166819466351199,-0.195622150712333,0.0573414979533818,-1.5890748959248,0.423372029079335,0.0447055714859689,0.0419902241840215,0.000700008634093888,0.0244426754066128,0.481149618980543,0.0159041177341455,0.00580211860868543,0,0
"r2_098",19.2458694709013,-0.166556557169153,-0.196575684986017,0.0562975221171572,-1.56093448777038,0.428595997225319,0.0443960986631202,0.0404723584205321,0.000678730243493617,0.0241556200454352,0.501646606679234,0.026773924091087,0.00547940699691639,-0.000873200245283596,0
"r2_098",19.0471946280983,-0.165156360493801,-0.196802938676536,0.0557379097285677,-1.57132132380684,0.424119739533995,0.0442908055900905,0.0397424037104067,0.000654277000994134,0.0237490359930505,0.501191267994496,0.0262956604243725,0.00547365137826009,-0.000866766824914238,0.0315780171657958
