"","(Intercept)","potassium","total_co2","magnesium","pre_creatinine","phosphate","platelets","glucose_r","hemoglobin","chloride","pre_urea","wbc","calcium","albumin","sodium"
"r2_049",0.0497069132751365,0.0102381653540609,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_077",0.059001517270033,0.00712453550150418,0.00182425918753896,0,0,0,0,0,0,0,0,0,0,0,0
"r2_090",0.0417964257605651,0.00496153985521665,0.00125153977271847,0.0186249190781921,0,0,0,0,0,0,0,0,0,0,0
"r2_094",0.0328575683326232,0.0040713546265083,0.000976822092348103,0.0152372740557427,1.1973526477117e-05,0,0,0,0,0,0,0,0,0,0
"r2_096",0.0274745570082709,0.00327978017307902,0.00080384342701424,0.0122252603411829,9.77340185537548e-06,0.00442493867283715,0,0,0,0,0,0,0,0,0
"r2_097",0.0273578974828422,0.0032075993275468,0.000785651226072862,0.0118850740968118,9.60714762979816e-06,0.0043581185379218,2.7268152251719e-05,0,0,0,0,0,0,0,0
"r2_098",0.0238771670525493,0.00274639951090867,0.000677328167228452,0.010140487803266,8.3932585636003e-06,0.00372905787775658,2.35179694399113e-05,0.000366591593635785,0,0,0,0,0,0,0
"r2_098",0.0245036537892429,0.00231260645330926,0.000572287124848135,0.00854926655592863,7.06937819806181e-06,0.00314076510268245,1.98273715797274e-05,0.000309171876879938,0.00012040432879966,0,0,0,0,0,0
"r2_099",0.0421214601711571,0.00185539853202199,0.000485779314889035,0.00684888016470624,5.70446008919758e-06,0.00254648294938882,1.60643361903846e-05,0.000257833900304679,9.65006632392188e-05,0.000307696607317416,0,0,0,0,0
"r2_099",0.0386123009987914,0.00169402038360056,0.000453398976899788,0.00621813846050329,5.43104885957584e-06,0.00233640756559433,1.45480201051367e-05,0.000233085325597889,8.73778234362344e-05,0.000278963117943722,0.000201132893197035,0,0,0,0
"r2_099",0.0358689543489356,0.00156361542825189,0.000419368375591229,0.00573732497031453,5.01635957229441e-06,0.00215622872016318,1.5098988117694e-05,0.000215362119052221,8.06784858417928e-05,0.000258430856358442,0.000186059762265748,0.000421781924030154,0,0,0
"r2_099",0.0350870674784614,0.00146371523489737,0.000394065871686253,0.00545293044929992,4.69853240477056e-06,0.00202653194565826,1.41505237919044e-05,0.000202879685629418,7.55597264130498e-05,0.000241795665737376,0.00017407872646308,0.000394411559454773,0.00542412635051327,0,0
"r2_099",0.0361526958245623,0.00146669822390738,0.000395279185079872,0.0054505408962028,4.72466838941385e-06,0.00203038478245154,1.42015180647087e-05,0.000205987547589021,7.71165697821583e-05,0.000244287676871079,0.000174854396257199,0.000402549788183007,0.00552446365250025,0.000255206186672965,0
"r2_099",0.0428620707600078,0.00148507495145503,0.000444313923234952,0.00545891508788607,4.96677749807811e-06,0.00206115151859798,1.41947563424204e-05,0.000207265182975381,7.70894444309264e-05,0.000357662643614434,0.000176211807073478,0.000404308443155462,0.00552542688145979,0.000260370627355283,0.000405809613202575
