"","(Intercept)","potassium","total_co2","magnesium","pre_creatinine","phosphate","platelets","glucose_r","hemoglobin","chloride","pre_urea","wbc","calcium","albumin","sodium"
"r2_049",5.70031412116967,-1.27096923787711,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_077",-0.894625165917694,-1.12852822895761,0.249534191403004,0,0,0,0,0,0,0,0,0,0,0,0
"r2_090",0.580913428938341,-1.0031088933657,0.259422689890192,-2.51178260843062,0,0,0,0,0,0,0,0,0,0,0
"r2_094",0.215790839061665,-1.13134351669234,0.269660739039506,-2.76640262354515,0.00125914589928667,0,0,0,0,0,0,0,0,0,0
"r2_096",-0.484561310170848,-1.16491507675147,0.28599363160253,-2.85322162836871,0.0010933321832851,0.390151181602722,0,0,0,0,0,0,0,0,0
"r2_097",-0.687960770582818,-1.16395719761092,0.285931766137496,-2.88244961989183,0.00114085343833082,0.377087429794305,0.00102343078983964,0,0,0,0,0,0,0,0
"r2_098",-0.37575213021827,-1.15321887634435,0.283237314991284,-2.88645330368524,0.0010286710917949,0.381054397082221,0.00106700461175637,-0.0264808867323413,0,0,0,0,0,0,0
"r2_098",0.627150759846845,-1.15168271329008,0.279861841030095,-2.85956283212482,0.00102482821231515,0.376534053410667,0.000997442767280903,-0.0277344149753439,-0.00862069511875024,0,0,0,0,0,0
"r2_099",-2.48757359663444,-1.14268758066655,0.293323255162687,-2.86732518513685,0.0010810511498936,0.409326421469158,0.00119597995198566,-0.0217324897144114,-0.00843301122721102,0.0257215946206464,0,0,0,0,0
"r2_099",-2.14673242229431,-1.12993937847687,0.28734308979943,-2.83591164583659,0.00117112716976892,0.430561627376065,0.00114678405520956,-0.0214686978889395,-0.0087228275708624,0.0245650183422579,-0.0106640496833037,0,0,0,0
"r2_099",-1.95137681248501,-1.12738346438848,0.285954104511878,-2.84489348912011,0.00115829877378952,0.433814395566661,0.00147126126650355,-0.0208628157675022,-0.0085710673061508,0.0234947838857023,-0.0100477203514892,-0.0197673664621613,0,0,0
"r2_099",-1.51510772798346,-1.12658037129713,0.287442243013799,-2.80291234927985,0.00116605989256969,0.425536545559473,0.001509304195722,-0.0219173938206801,-0.00839039373551432,0.0234718640373568,-0.0099623241429986,-0.019697131145,-0.231455568951374,0,0
"r2_099",-1.43500553626199,-1.12609403435075,0.287215913052834,-2.80302361070924,0.00117095570361355,0.424865454067867,0.00150751634189091,-0.0221216323042565,-0.00824833874247851,0.0231759751113083,-0.0098481914586637,-0.020450847769509,-0.22137888325864,-0.0023999043165434,0
"r2_099",-1.52015614979539,-1.12523377053315,0.286456159336523,-2.80170804407301,0.00116532501126118,0.423517208063477,0.0015072345053556,-0.0220338520953577,-0.00824378493436104,0.0222032304035052,-0.00993385716696128,-0.0205965100299807,-0.220606871826589,-0.00259350642437976,0.00150647817404224
