"","(Intercept)","potassium","magnesium","chloride","sodium","calcium","pre_creatinine","pre_urea","glucose_r","hemoglobin","phosphate","albumin","total_co2","platelets","wbc"
"r2_068",0.0335306914893897,0.0069063384001374,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_084",0.0278199346287306,0.00510068475705888,0.01947285798242,0,0,0,0,0,0,0,0,0,0,0,0
"r2_085",0.0851078185006548,0.00495243244920807,0.0188101574112347,0.000790955241192517,0,0,0,0,0,0,0,0,0,0,0
"r2_091",0.102969510088734,0.00384804218730512,0.0146260232953034,0.000798613872260696,0.000940721481811544,0,0,0,0,0,0,0,0,0,0
"r2_096",0.0726675939972514,0.00263229923614527,0.0101830731911217,0.000546695597477413,0.000644824217897833,0.0103556972130897,0,0,0,0,0,0,0,0,0
"r2_097",0.064876317010296,0.00244341254888161,0.00925099860522483,0.000491078503152247,0.000594586155918475,0.00895989595545318,7.6272530365163e-06,0,0,0,0,0,0,0,0
"r2_098",0.0543238214227687,0.00208079365225299,0.00777504739730177,0.000411143348105162,0.000497667052145095,0.00751183815123108,6.81610141524961e-06,0.000230328902375679,0,0,0,0,0,0,0
"r2_099",0.0473660728752327,0.001696449689933,0.00631658571483439,0.000337684827206419,0.00041242541454565,0.00619505540070356,5.63238335385262e-06,0.000189637812010439,0.000236530062353393,0,0,0,0,0,0
"r2_099",0.0384254945227057,0.00135487561060632,0.00500304601918184,0.000268278078574519,0.000327658864314532,0.00494833123387284,4.47666849489397e-06,0.000150790771249454,0.000188608511756287,6.9198530434781e-05,0,0,0,0,0
"r2_100",0.0271982680131344,0.00096172222595688,0.00354138253606055,0.000190564304311106,0.00023190634784811,0.00351809842428229,3.17663461973297e-06,0.00010947050103812,0.00013330691334177,4.89019102875502e-05,0.00129392640829796,0,0,0,0
"r2_100",0.0210411576058,0.000744799831633567,0.00273093616823723,0.000149414228139448,0.000181320152951534,0.0027557957114135,2.45802784422969e-06,8.47656924935422e-05,0.000104139243347548,3.85372375782552e-05,0.00100106675122037,0.000125894797304553,0,0,0
"r2_100",0.020378048575131,0.000714021093819764,0.00262618441309761,0.000168368112874627,0.000194036578502623,0.0026497917918583,2.37546480543049e-06,8.44253798005533e-05,9.98614154716512e-05,3.70162173734892e-05,0.000992838028888192,0.000121378161749349,0.000210848694198481,0,0
"r2_100",0.0193059414215392,0.000669898413963312,0.00246605718403258,0.000159721705533836,0.000182342744736017,0.00249427096246232,2.2391608590537e-06,7.93918474231843e-05,9.35417172200776e-05,3.47221642283005e-05,0.000931282337782556,0.000115012926061847,0.0001993066981989,5.74682834814041e-06,0
"r2_100",0.0193478904256751,0.00067036115906644,0.00246414811722141,0.000161448514159657,0.000183182001959058,0.00249417146586653,2.24199776393413e-06,7.95418110818131e-05,9.35592699596495e-05,3.47980883186209e-05,0.000930401472104242,0.000117531007690711,0.000200562804104476,6.40749701221985e-06,0.000182504375491954
